facility_id,mortality_measure_count,safety_measure_count,readmission_measure_count,patient_exp_measure_count,timely_effective_measure_count
100049,8,8,11,15,10
100050,8,8,11,15,10
100051,8,8,11,15,10
100052,8,8,11,15,10
100053,8,8,11,15,10
100054,8,8,11,15,10
100055,8,8,11,15,10
100057,8,8,11,15,10
100062,8,8,11,15,10
100063,8,8,11,15,10
100067,8,8,11,15,10
100068,8,8,11,15,10
100069,8,8,11,15,10
100071,8,8,11,15,10
100072,8,8,11,15,10
100073,8,8,11,15,10
100075,8,8,11,15,10
100077,8,8,11,15,10
100080,8,8,11,15,10
100084,8,8,11,15,10
100086,8,8,11,15,10
100087,8,8,11,15,10
100088,8,8,11,15,10
100090,8,8,11,15,10
100093,8,8,11,15,10
100099,8,8,11,15,10
10009F,8,8,11,15,10
100105,8,8,11,15,10
100107,8,8,11,15,10
100109,8,8,11,15,10
100110,8,8,11,15,10
100113,8,8,11,15,10
100117,8,8,11,15,10
100118,8,8,11,15,10
100121,8,8,11,15,10
100122,8,8,11,15,10
100124,8,8,11,15,10
100125,8,8,11,15,10
100126,8,8,11,15,10
100127,8,8,11,15,10
100128,8,8,11,15,10
100130,8,8,11,15,10
100131,8,8,11,15,10
100132,8,8,11,15,10
100134,8,8,11,15,10
100135,8,8,11,15,10
100137,8,8,11,15,10
10013F,,,,,
100140,8,8,11,15,10
100142,8,8,11,15,10
100150,8,8,11,15,10
100151,8,8,11,15,10
100154,8,8,11,15,10
100156,8,8,11,15,10
100157,8,8,11,15,10
10015F,8,8,11,15,10
100161,8,8,11,15,10
100166,8,8,11,15,10
100167,8,8,11,15,10
100168,8,8,11,15,10
100173,8,8,11,15,10
100175,8,8,11,15,10
100176,8,8,11,15,10
100177,8,8,11,15,10
100179,8,8,11,15,10
100180,8,8,11,15,10
100181,8,8,11,15,10
100183,8,8,11,15,10
100187,8,8,11,15,10
100189,8,8,11,15,10
100191,8,8,11,15,10
100200,8,8,11,15,10
100204,8,8,11,15,10
100206,8,8,11,15,10
100209,8,8,11,15,10
100211,8,8,11,15,10
100212,8,8,11,15,10
100213,8,8,11,15,10
100217,8,8,11,15,10
10021F,,,,,
100220,8,8,11,15,10
100223,8,8,11,15,10
100224,8,8,11,15,10
100226,8,8,11,15,10
100228,8,8,11,15,10
100230,8,8,11,15,10
100231,8,8,11,15,10
100232,8,8,11,15,10
100236,8,8,11,15,10
100238,8,8,11,15,10
100242,8,8,11,15,10
100243,8,8,11,15,10
100244,8,8,11,15,10
100246,8,8,11,15,10
100248,8,8,11,15,10
100249,8,8,11,15,10
100252,8,8,11,15,10
100253,8,8,11,15,10
100254,8,8,11,15,10
100256,8,8,11,15,10
100258,8,8,11,15,10
100259,8,8,11,15,10
100260,8,8,11,15,10
100264,8,8,11,15,10
100265,8,8,11,15,10
100266,8,8,11,15,10
100267,8,8,11,15,10
100268,8,8,11,15,10
100269,8,8,11,15,10
100275,8,8,11,15,10
100276,8,8,11,15,10
100277,8,8,11,15,10
100281,8,8,11,15,10
100284,8,8,11,15,10
100285,8,8,11,15,10
100286,8,8,11,15,10
100287,8,8,11,15,10
100288,8,8,11,15,10
100289,8,8,11,15,10
100290,8,8,11,15,10
100291,8,8,11,15,10
100292,8,8,11,15,10
100296,8,8,11,15,10
100298,,,,,
100299,8,8,11,15,10
100302,8,8,11,15,10
100307,8,8,11,15,10
100313,8,8,11,15,10
100314,8,8,11,15,10
100315,8,8,11,15,10
100316,8,8,11,15,10
100319,8,8,11,15,10
100320,8,8,11,15,10
100321,8,8,11,15,10
100329,8,8,11,15,10
100330,8,8,11,15,10
100350,8,8,11,15,10
100359,8,8,11,15,10
100360,8,8,11,15,10
